family,genus,species,museum,date,year,country,location,latitude,longitude,reference,holotype,checked
Cistugidae,Cistugo,lesueuri,TM2286,1917-09-15,1917,South Africa,Franschoek valley,-33.73,18.97,Van Cakenberghe & Seamark 2022,Holotype,NA
Cistugidae,Cistugo,lesueuri,KM2025,1933-06-01,1933,South Africa,"Bedford, SE",-32.88,26.24,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,KM2031,1933-10-01,1933,South Africa,"Bedford, SE",-32.88,26.24,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,TM29310,1978-07-12,1978,South Africa,Saasveld Forest,-33.97,22.52,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,TM29511,1979-01-22,1979,South Africa,Karoo NP,-32.33,22.55,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,KM24805,1979-02-03,1979,Lesotho,Sehlabathebe NP,-29.87,29.08,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,TM35121,1982-08-25,1982,South Africa,Algeria Forest Research Station,-32.4,19.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB6887,1988-01-02,1988,Lesotho,Matelanong,-29.38,29.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB6696,1988-11-27,1988,Lesotho,Sehlabathebe NP,-29.87,29.08,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7036,1989-04-17,1989,Lesotho,"Lepaqoa, Pelaneng",-29.13,28.38,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7268,1989-10-17,1989,Lesotho,Marakabei,-29.62,28.12,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7902,1990-11-27,1990,South Africa,Golden Gate,-28.38,28.63,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7847,1990-11-28,1990,South Africa,"Arrarat, Sterkfontein Dam",-28.38,28.88,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7700,1990-12-03,1990,South Africa,"Waterval, Warden",-27.88,29.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB8158,1991-10-15,1991,Lesotho,"Mahlanapeng, Thaba-Tseka",-29.63,28.63,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB8289,1991-12-02,1991,Lesotho,Pallang,-29.88,27.88,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB8483,1992-05-03,1992,Lesotho,"Moqotoane, Thaba-Tseka",-29.63,28.88,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB? (JW142),2004-02-09,2004,South Africa,Karoo NP,-32.33,22.55,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,MYO001J,NA,NA,South Africa,Jonkershoek,-33.88,18.88,Kearney & van Schalkwyk 2009,NA,NA
Cistugidae,Cistugo,lesueuri,MYO002J,NA,NA,South Africa,Mazelsfontein,-29.13,23.67,Kearney & van Schalkwyk 2009,NA,NA
Cistugidae,Cistugo,lesueuri,KM26055,NA,NA,South Africa,Rocherspan,-32.67,18.38,Kearney & van Schalkwyk 2009,NA,NA
Cistugidae,Cistugo,lesueuri,MMK2496,NA,NA,South Africa,Algeria Forest Research Station,-32.4,19.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,DM88,NA,NA,South Africa,"Clarens, near",-28.52,28.42,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,DM7504,NA,NA,South Africa,Kamberg Valley,-29.75,29.36,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,KM1889,1936-12-31,1936,South Africa,Goodhouse,-28.9,18.25,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,USNM00342632,1963-10-12,1963,South Africa,"Springbok, 10km",-29.67,17.87,Monadjem et al. 2020,NA,NA
Cistugidae,Cistugo,seabrae,SMM4392,1973-02-14,1973,Namibia,"Gorraris 99, Maltahohe",-24.88,16.38,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,SMM9757,1979-10-16,1979,Namibia,Skeleton Coast NP,-20.88,13.63,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,TM31277,1979-10-16,1979,Namibia,Skeleton Coast NP,-20.88,13.63,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,SMM10538,1983-07-17,1983,Namibia,"Namib-Naukluft NP, De Valle",-24.13,16.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,TM37541,1984-10-30,1984,Namibia,"Aus, 3km W",-26.65,16.22,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,SMM11197,1984-11-01,1984,Namibia,"Aus, 3km W",-26.65,16.22,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,TM37587,1984-11-03,1984,Namibia,"Maltahohe, 70km W",-24.9,16.28,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,SMM11263,1984-11-03,1984,Namibia,"Maltahohe, Zwartmodder 101",-24.88,16.38,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,TM47581,2005-02-10,2005,South Africa,Khamkirri,-28.65,20.43,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,NA,2017-01-17,2017,Namibia,"President's Borehole, Mudorib River",-19.3243,13.2309,T. Laverty Unpublished,NA,NA
Cistugidae,Cistugo,seabrae,BMNH1906.1.3.3,NA,1912,Angola,Mossamedes (=Namibe),-15.17,12.13,Crawford-Cabral 1989,Holotype,NA
Cistugidae,Cistugo,seabrae,LACM059088,NA,NA,Namibia,Orumpembe,-18.18,12.52,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,MYO003J,NA,NA,South Africa,Goebag,-29.67,18.13,Kearney & van Schalkwyk 2009,NA,NA
Cistugidae,Cistugo,seabrae,MYO049J,NA,NA,South Africa,Steyerskraal,-28.67,19.38,Kearney & van Schalkwyk 2009,NA,NA
Cistugidae,Cistugo,seabrae,MMK7051,NA,NA,South Africa,Augrabies Falls NP,-28.6,20.33,Monadjem et al. 2020,NA,Yes
Emballonuridae,Coleura,afra,AMNH48809,1911-12-16,1911,Democratic Republic of Congo,Aba,5.8833,30.2833,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Coleura,afra,RBINS9062.1,1946-01-01,1946,Democratic Republic of Congo,Lake Tanganyika,-6,29.18,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Coleura,afra,RMCA23820,1951-07-01,1951,Democratic Republic of Congo,Wago Mount,1.75,30.6667,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Coleura,afra,USNM,1966-10-25,1966,Nigeria,Idere,7.4833,3.25,Happold 1987,NA,NA
Emballonuridae,Coleura,afra,MHNG,1985-12-24,1985,Central African Republic,"Mbrès, Gribingui/Préfecture de la Nana-Grébizi",6.6557,19.8149,GBIF,NA,NA
Emballonuridae,Coleura,afra,FMNH,2007-08-10,2007,Tanzania,Amboni Caves,-5.0727,39.0485,GBIF,NA,NA
Emballonuridae,Coleura,afra,DM14081,2012-05-24,2012,Gabon,Maboumine,-0.8042,10.5343,A. Monadjem Unpublished,NA,Yes
Emballonuridae,Coleura,afra,GV-CM-EO06308,2012-12-07,2012,Cameroon,Leplikoung,3.6524,10.2272,Lebreton et al. 2014,NA,Yes
Emballonuridae,Coleura,afra,NA,2021-09-25,2021,Djibouti,"Western Djibouti, Galafi Wetlands",11.688,41.866,P. Webala Unpublished,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Angola,Benguela,-12.63,13.38,Crawford-Cabral 1989,NA,NA
Emballonuridae,Coleura,afra,IICA5233,NA,NA,Angola,Novo Redondo (=Sumbe),-11.38,13.88,Monadjem et al. 2020,NA,Yes
Emballonuridae,Coleura,afra,MNHN,NA,NA,Central African Republic,Bangui,4.383,18.617,GBIF,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Central African Republic,Kaga Djirri,5.7333,18.8333,Schlitter et al. 1982,NA,NA
Emballonuridae,Coleura,afra,NA,NA,1978,Central African Republic,Monovo-Gouna St. Floris NP (Koumbala),7.4833,21.2167,Schlitter et al. 1982,NA,NA
Emballonuridae,Coleura,afra,NA,NA,1978,Central African Republic,Monovo-Gouna St. Floris NP (Koumbala-Gounda confluence),8.5167,21.2,Schlitter et al. 1982,NA,NA
Emballonuridae,Coleura,afra,NA,NA,1978,Central African Republic,N'dele (Sultan Senoussi),8.55,20.6,Schlitter et al. 1982,NA,NA
Emballonuridae,Coleura,afra,BMNH1953.10,NA,NA,Democratic Republic of Congo,Kasambongo,-3.4,29.1333,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Coleura,afra,HZM,NA,1999,Djibouti,Ardo,11.8167,42.7,Pearch et al. 2001,NA,NA
Emballonuridae,Coleura,afra,ZMUM,NA,2010,Ethiopia,Megenagne,12.2,35.667,Kruskop et al. 2016,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Ethiopia,Dobleh,7,45,Largen et al. 1974,NA,NA
Emballonuridae,Coleura,afra,BMNH,NA,1973,Ethiopia,"Lake Awasa, E",7.6167,38.65,Largen et al. 1974,NA,NA
Emballonuridae,Coleura,afra,BMNH,NA,1973,Ethiopia,"Lake Chamo, W",5.8333,37.5333,Largen et al. 1974,NA,NA
Emballonuridae,Coleura,afra,BMNH,NA,1967,Ethiopia,Lake Hertale,9.95,40.45,Largen et al. 1974,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Ethiopia,Afdem,9.45,40.9667,Yalden et al. 1996,NA,NA
Emballonuridae,Coleura,afra,NA,NA,2010,Gabon,"Belinga mountains, Baouala Cave",0.8757,13.4553,Vallo et al. 2018,NA,NA
Emballonuridae,Coleura,afra,NA,NA,2009,Gabon,"Belinga mountains, Faucon Cave",1.0729,13.2074,Vallo et al. 2018,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Gabon,"Belinga mountains, Ikei Cave",0.9517,13.6934,Vallo et al. 2018,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Ghana,NA,5.87,0.12,Grubb et al. 1998,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Ghana,NA,6.87,-0.12,Grubb et al. 1998,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Ghana,NA,9.62,-1.62,Grubb et al. 1998,NA,NA
Emballonuridae,Coleura,afra,NA,NA,1953,Guinea,Segea (near Kindia),10.0667,-12.85,Aellen 1956b,NA,NA
Emballonuridae,Coleura,afra,NA,NA,1981,Guinea,"Kindia, Segueya cave",10.0667,-12.85,Konstantinov et al. 2000,NA,NA
Emballonuridae,Coleura,afra,MHNC,NA,1937,Guinea-Bissau,Madina Boe,11.75,-14.2167,Monard 1939,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,Ferguson's Gulf,3.5167,35.9167,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,Gede,-3.3,40.0167,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,Lake Baringo,0.6333,36.0833,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,"Mombasa, Diani Mosque",-4.3,39.5667,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,"Mombasa, Fort Jesus",-4.05,39.6667,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,Msambweni,-4.4667,39.4833,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,"Mwingi, 10 mi E",-0.9333,38.2333,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,"Ngombeni, Mombasa 11 km S",-4.1333,39.65,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,Shimoni,-4.62,39.36,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,Tsavo,-2.9833,38.4667,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,Tschaka,-2.55,40.6167,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Kenya,Voi,-3.3833,38.5667,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Coleura,afra,BMNH 1858.6.18.12,NA,1852,Mozambique,Tete,-16.27,33.58,Smithers & Lobao Tello 1976,Holotype,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Somalia,Alto Giuba,3,43.5,Funaioli 1959,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Somalia,Migiurtinia,10,50,Funaioli 1959,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Somalia,Mogadiscio (= Moqdishu),2.05,45.3333,Funaioli 1959,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Somalia,Mudugh,7,48,Funaioli 1959,NA,NA
Emballonuridae,Coleura,afra,FMNH,NA,NA,South Sudan,Imurok,4.3128,32.3911,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,BMNH,NA,NA,South Sudan,Jebel Zeraf,9.3333,31.1667,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,FMNH,NA,NA,South Sudan,"Katuluru (Torit, 20 mi W)",4.4167,32.1667,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,FMNH,NA,NA,South Sudan,Kibish Wells,5.25,35.8333,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,FMNH,NA,NA,South Sudan,"Molongori (Torit, 25 mi SE)",4.25,32.6667,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,FMNH,NA,NA,South Sudan,Sunnat,4.2667,32.8167,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,BMNH,NA,NA,South Sudan,Tonga,9.3167,31.0333,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,AMNH,NA,NA,South Sudan,Torit,4.4167,32.5667,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,FMNH,NA,NA,South Sudan,Yambio (Marunga cave),4.5667,28.4167,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Sudan,Jebel Moya,13.5,33.3333,Kock 1969,NA,NA
Emballonuridae,Coleura,afra,SMF,NA,1963,Sudan,Kadugli (Nuba mountains),11,29.7167,Kock 1969,NA,NA
Emballonuridae,Coleura,afra,BMNH,NA,NA,Sudan,Ingessana Hills,11.5,34,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,BMNH,NA,NA,Sudan,Jebel Kau,10.5833,31.5833,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,AMNH,NA,NA,Sudan,Jebelein,12.5667,32.8167,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,SMF,NA,1965,Sudan,Rheika,10.7,29.9833,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,RML,NA,NA,Sudan,Sennar,13.5833,33.6333,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,SMF,NA,1964,Sudan,Suakin,19.1,37.32,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,BMNH,NA,NA,Sudan,Wisco,11.3333,34.1667,Koopman 1975,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Tanzania,Mkulumuzi cave,-5.0833,39.05,Swynnerton & Hayman 1951,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Tanzania,Mwanza,-2.5167,32.9,Swynnerton & Hayman 1951,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Uganda,Karamoja,2.75,34.25,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Uganda,Mount Watti,3.2167,31.0333,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Uganda,Sukulu,0.6667,34.1667,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Coleura,afra,NA,NA,NA,Uganda,Teso,1.6667,33.5,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Saccolaimus,peli,MCZ,1945-11-22,1945,Ghana,Oda,5.9167,-0.9833,GBIF,NA,NA
Emballonuridae,Saccolaimus,peli,USNM,1968-01-30,1968,Ghana,Ahiriso,6.53,-2.33,GBIF,NA,NA
Emballonuridae,Saccolaimus,peli,USNM,1968-03-29,1968,Ghana,"Kade, 6 Mi N",6.1,-0.85,GBIF,NA,NA
Emballonuridae,Saccolaimus,peli,USNM,1968-07-10,1968,Ghana,Efeipo Krom,4.95,-1.87,GBIF,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Angola,Lago Calundo,-11.72,20.8,Crawford-Cabral 1989,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Cameroon,Barombi,4.6669,9.4,Aellen 1952,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Cameroon,Mamfe,5.7833,9.3,Aellen 1952,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Cameroon,Mount Cameroon,4.15,9.2333,Aellen 1952,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Cameroon,Yaounde,3.8667,11.5167,Aellen 1952,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1909,Democratic Republic of Congo,Avakubi,1.3,27.5833,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,AMNH,NA,1909,Democratic Republic of Congo,Bafwabaka,2.1667,27.7167,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1939,Democratic Republic of Congo,"Beni, fort",0.4333,29.5833,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1950,Democratic Republic of Congo,Beno,-3.7,17.7667,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1952,Democratic Republic of Congo,Bokoro,-2.8333,18.4,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1956,Democratic Republic of Congo,Djeka,-2.7833,23.9167,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1946,Democratic Republic of Congo,Ikela,-1.1333,23.0833,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,BMNH,NA,NA,Democratic Republic of Congo,Inkongo,-4.92,23.25,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA14913,NA,1922,Democratic Republic of Congo,Kikwit,-5.22,18.82,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1929,Democratic Republic of Congo,Kunungu,-2.1,16.4333,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1913,Democratic Republic of Congo,Lesse,0.75,29.8,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,AMNH,NA,1930,Democratic Republic of Congo,Lukolela,-1.1667,17.1833,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,BMNH,NA,NA,Democratic Republic of Congo,Luluabourg (=Kananga),-5.88,22.43,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1910,Democratic Republic of Congo,Medje,2.4167,27.3,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,FMNH,NA,1924,Democratic Republic of Congo,Moera,0.65,29.5,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,AMNH,NA,1909,Democratic Republic of Congo,Ngayu,1.75,27.55,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,AMNH,NA,1913,Democratic Republic of Congo,Niangara,3.7167,27.8667,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1959,Democratic Republic of Congo,Omaniundu,-3.35,23.25,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1925,Democratic Republic of Congo,Panga,1.8667,26.3833,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1939,Democratic Republic of Congo,Pawa,2.5333,27.6667,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,AMNH,NA,1913,Democratic Republic of Congo,Rungu,3.25,27.95,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,USNM,NA,1979,Democratic Republic of Congo,Yalosemba,2.58,21.85,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1952,Democratic Republic of Congo,Yokamba,-0.3167,21.65,Van Cakenberghe et al. 2017,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,1964,Gabon,Makokou,0.55,12.85,Brosset 1966b,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Ghana,NA,5.37,-2.37,Grubb et al. 1998,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Ghana,NA,5.62,-1.37,Grubb et al. 1998,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Ghana,NA,6.37,-1.12,Grubb et al. 1998,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Ghana,NA,6.87,-1.62,Grubb et al. 1998,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Ghana,NA,7.37,-2.37,Grubb et al. 1998,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,1853,Ghana,Boutry river,4.85,-1.917,Van Cakenberghe & Seamark 2022,Holotype,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Guinea,Ziama,8.2,-9.3333,Fahr et al. 2006,NA,NA
Emballonuridae,Saccolaimus,peli,RMCA,NA,1965,Ivory Coast,Buyo,6.2667,-3,de Vree 1971,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,2000,Ivory Coast,Tai NP,5.8333,-7.35,Fahr & Kalko 2011,NA,NA
Emballonuridae,Saccolaimus,peli,MHNG,NA,NA,Ivory Coast,NA,6.85,-5.3,GBIF,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Kenya,Kaimosi,0.1333,34.85,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Kenya,Nandi Forest,0.3333,35.0667,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,1964,Liberia,Mount Nimba,7.4833,-8.5667,Coe 1975,NA,NA
Emballonuridae,Saccolaimus,peli,AMNH,NA,1971,Liberia,Zwedru,6.0667,-8.1333,Koopman 1989,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Liberia,Banga,7.288,-10.253,Kuhn 1965,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Liberia,Du River,6.3833,-10.3667,Kuhn 1965,NA,NA
Emballonuridae,Saccolaimus,peli,USNM,NA,NA,Nigeria,"Benin, 50km W",6.3333,5.8167,Happold 1987,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Nigeria,Lagos,6.45,3.3833,Happold 1987,NA,NA
Emballonuridae,Saccolaimus,peli,BMNH,NA,NA,Nigeria,Oban,5.3167,8.5667,Happold 1987,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,2011,Nigeria,"Okomu NP, C2",6.345,5.358,Tanshi et al. 2019,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Uganda,Budongo,1.75,31.6,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Uganda,Edward Lake,-0.4333,29.7833,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Uganda,Mwela,1.2667,31,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Uganda,Ntandi,0.8,30.15,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Saccolaimus,peli,NA,NA,NA,Uganda,Nyabyeye,1.6833,31.5333,Thorn & Kerbis Peterhans 2009,NA,NA
Emballonuridae,Taphozous,hamiltoni,BMNH 1919.12.18.1,1918-06-13,1918,South Sudan,Mongalla,5.1833,31.75,Van Cakenberghe & Seamark 2022,Holotype,NA
Emballonuridae,Taphozous,hamiltoni,NA,NA,NA,Kenya,"Lake Turkana, Central Island",3.5,36.05,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Taphozous,hamiltoni,ZMK,NA,NA,South Sudan,"Chalamani (Torit, 30 mi E)",4.4167,32.7833,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hamiltoni,BMNH,NA,NA,South Sudan,Kaitherin,4.75,35.25,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hamiltoni,FMNH,NA,NA,South Sudan,Lafon,5.0333,32.45,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hamiltoni,ZMK,NA,NA,South Sudan,Lodwara,4.25,33.2167,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hamiltoni,FMNH,NA,NA,South Sudan,"Loqutor (Torit, 30 mi NE)",4.6667,32.8333,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hamiltoni,ZMK,NA,NA,South Sudan,"Molongori (Torit, 25 mi SE)",4.25,32.6667,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hamiltoni,FMNH,NA,NA,South Sudan,Nimule,3.6,32.05,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hamiltoni,FMNH,NA,NA,South Sudan,Okaru,4.4833,32.1667,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hamiltoni,BMNH,NA,NA,Sudan,Jebel Kau,10.5833,31.5833,Koopman 1975,NA,NA
Emballonuridae,Taphozous,hildegardeae,BMNH 1909.6.12.7,1909-08-01,1909,Kenya,Rabai (Mombasa),-3.9333,39.5667,Aggundey & Schlitter 1984,Holotype,NA
Emballonuridae,Taphozous,hildegardeae,NA,NA,NA,Kenya,Gede,-3.3,40.0167,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Taphozous,hildegardeae,NA,NA,NA,Kenya,Manda Island,-2.2833,40.95,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Taphozous,hildegardeae,NA,NA,NA,Kenya,"Mombasa, Kilindini",-4.05,39.65,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Taphozous,hildegardeae,NA,NA,NA,Kenya,"Ngombeni, Mombasa 11 km S",-4.1333,39.65,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Taphozous,hildegardeae,NA,NA,NA,Kenya,Ngomeni,-3,40.1833,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Taphozous,hildegardeae,NA,NA,NA,Kenya,Shimoni,-4.62,39.36,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Taphozous,hildegardeae,NA,NA,NA,Kenya,Tiwi,-4.2333,39.5833,Aggundey & Schlitter 1984,NA,NA
Emballonuridae,Taphozous,hildegardeae,NA,NA,NA,Kenya,Ukunda,-4.2833,39.5667,Aggundey & Schlitter 1984,NA,NA
